franchise_id,franchise_name,franchise_url,total_gross,num_movies,average_gross,highest_grossing_movie,Franchise,No. of Movies,Domestic Box Office,Infl. Adj. Dom. Box Office,Worldwide Box Office,First Year,Last Year,No. of Years
481,Tintin,https://www.the-numbers.com/movies/franchise/Tintin,2,"$77,591,831","$105,343,734","$373,993,951",Tintin,2,"$77,591,831","$105,343,734","$373,993,951",2011,2021,10
482,Best Exotic Marigold Hotel,https://www.the-numbers.com/movies/franchise/Best-Exotic-Marigold-Hotel,2,"$79,461,905","$105,115,403","$224,040,642",Best Exotic Marigold Hotel,2,"$79,461,905","$105,115,403","$224,040,642",2012,2015,3
484,Kick-Ass,https://www.the-numbers.com/movies/franchise/Kick-Ass,2,"$76,867,288","$103,861,290","$160,661,043",Kick-Ass,2,"$76,867,288","$103,861,290","$160,661,043",2010,2013,3
486,Soul Food,https://www.the-numbers.com/movies/franchise/Soul-Food,1,"$43,492,389","$102,130,927","$43,492,389",Soul Food,1,"$43,492,389","$102,130,927","$43,492,389",1997,1997,
487,Hills Have Eyes,https://www.the-numbers.com/movies/franchise/Hills-Have-Eyes,2,"$62,583,029","$101,356,935","$107,822,351",Hills Have Eyes,2,"$62,583,029","$101,356,935","$107,822,351",2006,2007,1
488,Silent Hill,https://www.the-numbers.com/movies/franchise/Silent-Hill,2,"$64,512,851","$101,064,743","$150,679,899",Silent Hill,2,"$64,512,851","$101,064,743","$150,679,899",2006,2012,6
489,Without a Paddle,https://www.the-numbers.com/movies/franchise/Without-a-Paddle,2,"$58,156,435","$100,951,682","$65,121,280",Without a Paddle,2,"$58,156,435","$100,951,682","$65,121,280",2004,2009,5
490,Sinister,https://www.the-numbers.com/movies/franchise/Sinister,2,"$75,827,858","$100,596,901","$141,832,032",Sinister,2,"$75,827,858","$100,596,901","$141,832,032",2012,2015,3
491,Butterfly Effect,https://www.the-numbers.com/movies/franchise/Butterfly-Effect,3,"$57,924,679","$100,552,013","$95,638,592",Butterfly Effect,3,"$57,924,679","$100,552,013","$95,638,592",2004,2009,5
495,Street Fighter,https://www.the-numbers.com/movies/franchise/Street-Fighter,3,"$42,165,261","$98,919,457","$112,083,287",Street Fighter,3,"$42,165,261","$98,919,457","$112,083,287",1994,2026,32
497,Benchwarmers,https://www.the-numbers.com/movies/franchise/Benchwarmers,2,"$59,843,754","$98,490,931","$65,063,726",Benchwarmers,2,"$59,843,754","$98,490,931","$65,063,726",2006,2019,13
500,Curious George,https://www.the-numbers.com/movies/franchise/Curious-George,6,"$58,640,119","$96,509,987","$73,992,733",Curious George,6,"$58,640,119","$96,509,987","$73,992,733",2006,2021,15
501,Stomp the Yard,https://www.the-numbers.com/movies/franchise/Stomp-the-Yard,2,"$61,356,221","$96,136,633","$75,525,718",Stomp the Yard,2,"$61,356,221","$96,136,633","$75,525,718",2007,2010,3
502,Three Flavours Cornetto Trilogy,https://www.the-numbers.com/movies/franchise/Three-Flavours-Cornetto-Trilogy,3,"$63,956,332","$95,729,807","$157,602,947",Three Flavours Cornetto Trilogy,3,"$63,956,332","$95,729,807","$157,602,947",2004,2013,9
505,Willard,https://www.the-numbers.com/movies/franchise/Willard,2,"$14,545,941","$95,033,472","$14,545,941",Willard,2,"$14,545,941","$95,033,472","$14,545,941",1971,1972,1
506,Monty Python,https://www.the-numbers.com/movies/franchise/Monty-Python,4,"$39,602,261","$94,858,017","$41,569,803",Monty Python,4,"$39,602,261","$94,858,017","$41,569,803",1975,1983,8
507,White Noise,https://www.the-numbers.com/movies/franchise/White-Noise,2,"$56,094,360","$94,336,535","$100,337,927",White Noise,2,"$56,094,360","$94,336,535","$100,337,927",2005,2008,3
508,Happy Gilmore,https://www.the-numbers.com/movies/franchise/Happy-Gilmore,2,"$38,623,460","$94,199,294","$41,004,412",Happy Gilmore,2,"$38,623,460","$94,199,294","$41,004,412",1996,2024,28
510,Elizabeth,https://www.the-numbers.com/movies/franchise/Elizabeth,2,"$46,367,939","$92,279,322","$157,021,508",Elizabeth,2,"$46,367,939","$92,279,322","$157,021,508",1998,2007,9
513,Hitman: Agent 47,https://www.the-numbers.com/movies/franchise/Hitman-Agent-47,2,"$62,155,144","$90,886,967","$181,318,374",Hitman: Agent 47,2,"$62,155,144","$90,886,967","$181,318,374",2007,2015,8
514,George A. Romero's Dead Series,https://www.the-numbers.com/movies/franchise/George-A-Romeros-Dead-Series,8,"$44,745,768","$90,436,480","$172,338,528",George A. Romero's Dead Series,8,"$44,745,768","$90,436,480","$172,338,528",1968,2021,53
515,A Cinderella Story,https://www.the-numbers.com/movies/franchise/Cinderella-Story-A,5,"$51,438,175","$89,292,023","$70,112,484",A Cinderella Story,5,"$51,438,175","$89,292,023","$70,112,484",2004,2021,17
516,Lawnmower Man,https://www.the-numbers.com/movies/franchise/Lawnmower-Man,2,"$34,497,118","$89,229,132","$34,497,118",Lawnmower Man,2,"$34,497,118","$89,229,132","$34,497,118",1992,1996,4
518,Lost Boys,https://www.the-numbers.com/movies/franchise/Lost-Boys,3,"$32,222,567","$88,838,681","$32,394,143",Lost Boys,3,"$32,222,567","$88,838,681","$32,394,143",1987,2010,23
520,Big Fat Liar,https://www.the-numbers.com/movies/franchise/Big-Fat-Liar,2,"$47,811,275","$88,710,075","$52,461,017",Big Fat Liar,2,"$47,811,275","$88,710,075","$52,461,017",2002,2017,15
521,Demon Slayer: Kimetsu no Yaiba,https://www.the-numbers.com/movies/franchise/Demon-Slayer-Kimetsu-no-Yaiba,9,"$84,491,584","$87,483,911","$579,058,728",Demon Slayer: Kimetsu no Yaiba,9,"$84,491,584","$87,483,911","$579,058,728",2019,2024,5
522,Demon Slayer,https://www.the-numbers.com/movies/franchise/Demon-Slayer,9,"$84,491,584","$87,483,911","$579,058,728",Demon Slayer,9,"$84,491,584","$87,483,911","$579,058,728",2019,2024,5
523,House on Haunted Hill,https://www.the-numbers.com/movies/franchise/House-on-Haunted-Hill,2,"$40,846,082","$86,633,826","$65,090,541",House on Haunted Hill,2,"$40,846,082","$86,633,826","$65,090,541",1999,2007,8
524,Hot Tub Time Machine,https://www.the-numbers.com/movies/franchise/Hot-Tub-Time-Machine,2,"$62,584,510","$84,430,577","$78,794,394",Hot Tub Time Machine,2,"$62,584,510","$84,430,577","$78,794,394",2010,2015,5
526,Air Bud,https://www.the-numbers.com/movies/franchise/Air-Bud,15,"$36,127,069","$84,341,998","$40,809,768",Air Bud,15,"$36,127,069","$84,341,998","$40,809,768",1997,2018,21
529,Fright Night,https://www.the-numbers.com/movies/franchise/Fright-Night,3,"$27,272,526","$82,029,245","$27,272,526",Fright Night,3,"$27,272,526","$82,029,245","$27,272,526",1985,2013,28
532,47 Meters Down,https://www.the-numbers.com/movies/franchise/47-Meters-Down,2,"$66,568,093","$79,445,528","$110,216,268",47 Meters Down,2,"$66,568,093","$79,445,528","$110,216,268",2017,2019,2
534,Boogeyman,https://www.the-numbers.com/movies/franchise/Boogeyman,3,"$46,752,382","$78,625,687","$67,192,859",Boogeyman,3,"$46,752,382","$78,625,687","$67,192,859",2005,2009,4
535,The Last Exorcism,https://www.the-numbers.com/movies/franchise/Last-Exorcism-The,2,"$56,213,653","$76,191,703","$95,614,607",The Last Exorcism,2,"$56,213,653","$76,191,703","$95,614,607",2010,2013,3
536,A Haunted House,https://www.the-numbers.com/movies/franchise/Haunted-House-A,2,"$57,371,170","$75,958,984","$81,129,419",A Haunted House,2,"$57,371,170","$75,958,984","$81,129,419",2013,2014,1
